drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
pitavastatin,crisaborole,The metabolism of Crisaborole can be decreased when combined with Pitavastatin.,1,79,298,255
desflurane,levobupivacaine,The risk or severity of adverse effects can be increased when Desflurane is combined with Levobupivacaine.,1,106,339,184
romidepsin,ranolazine,The serum concentration of Ranolazine can be increased when it is combined with Romidepsin.,1,91,123,488
bosentan,ticlopidine,The serum concentration of Ticlopidine can be increased when it is combined with Bosentan.,1,90,644,678
pirfenidone,hydrochlorothiazide,The therapeutic efficacy of Hydrochlorothiazide can be decreased when used in combination with Pirfenidone.,1,107,191,389
lomustine,darifenacin,The metabolism of Darifenacin can be decreased when combined with Lomustine.,1,76,112,267
decamethonium,sapropterin,no interaction known or reported,0,32,146,28
nalbuphine,molindone,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Molindone.,1,100,291,224
magnesium sulfate,metyrosine,Magnesium sulfate may increase the sedative activities of Metyrosine.,1,69,110,406
niacin,vildagliptin,The therapeutic efficacy of Vildagliptin can be decreased when used in combination with Niacin.,1,95,64,156
levobunolol,nizatidine,no interaction known or reported,0,32,157,57
cyclobenzaprine,butamben,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Butamben.,1,104,393,191
amsacrine,dronedarone,The metabolism of Dronedarone can be decreased when combined with Amsacrine.,1,76,112,514
medroxyprogesterone acetate,gliclazide,The therapeutic efficacy of Gliclazide can be decreased when used in combination with Medroxyprogesterone acetate.,1,114,134,128
bosentan,ergometrine,The serum concentration of Ergometrine can be decreased when it is combined with Bosentan.,1,90,644,172
isoetharine,azidocillin,no interaction known or reported,0,32,48,44
nalbuphine,isocarboxazid,The risk or severity of adverse effects can be increased when Nalbuphine is combined with Isocarboxazid.,1,104,291,194
rimexolone,sparfloxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Sparfloxacin.,1,103,124,225
dipivefrin,phenobarbital,no interaction known or reported,0,32,90,90
anagrelide,nevirapine,The metabolism of Nevirapine can be decreased when combined with Anagrelide.,1,76,243,181
sulfamethizole,mecamylamine,The risk or severity of adverse effects can be increased when Sulfamethizole is combined with Mecamylamine.,1,107,34,228
carboplatin,tofacitinib,Carboplatin may increase the immunosuppressive activities of Tofacitinib.,1,73,62,144
tetryzoline,stanozolol,no interaction known or reported,0,32,54,104
pentobarbital,ethinylestradiol,The metabolism of Ethinylestradiol can be increased when combined with Pentobarbital.,1,85,841,179
amphetamine,zuclopenthixol,Amphetamine may decrease the stimulatory activities of Zuclopenthixol.,1,70,392,157
dantrolene,dimercaprol,no interaction known or reported,0,32,130,38
plicamycin,adapalene,Plicamycin may decrease the excretion rate of Adapalene which could result in a higher serum level.,1,99,120,146
suvorexant,fospropofol,Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Fospropofol.,1,105,344,185
quinine,chlorothiazide,Quinine may increase the hypotensive activities of Chlorothiazide.,1,66,406,376
salsalate,nimesulide,The risk or severity of adverse effects can be increased when Salsalate is combined with Nimesulide.,1,100,156,300
doxazosin,flunarizine,Doxazosin may increase the hypotensive activities of Flunarizine.,1,65,259,335
cilostazol,azelastine,The serum concentration of Azelastine can be increased when it is combined with Cilostazol.,1,91,260,233
dapagliflozin,balsalazide,Dapagliflozin may increase the hypoglycemic activities of Balsalazide.,1,70,213,194
cinnarizine,carbenicillin,no interaction known or reported,0,32,167,41
pipamperone,atovaquone,no interaction known or reported,0,32,218,59
levorphanol,dextroamphetamine,Levorphanol may increase the analgesic activities of Dextroamphetamine.,1,71,291,78
nevirapine,dapagliflozin,The metabolism of Dapagliflozin can be increased when combined with Nevirapine.,1,79,579,201
ramelteon,methsuximide,The risk or severity of adverse effects can be increased when Ramelteon is combined with Methsuximide.,1,102,176,271
ropivacaine,tasimelteon,The risk or severity of adverse effects can be increased when Ropivacaine is combined with Tasimelteon.,1,103,398,278
amitriptyline,thiamylal,no interaction known or reported,0,32,334,163
gamma-hydroxybutyric acid,triflupromazine,The risk or severity of adverse effects can be increased when gamma-Hydroxybutyric acid is combined with Triflupromazine.,1,121,232,182
miconazole,ceritinib,The serum concentration of Ceritinib can be increased when it is combined with Miconazole.,1,90,128,613
carisoprodol,ropinirole,Carisoprodol may increase the sedative activities of Ropinirole.,1,64,146,517
prazosin,isoetharine,Prazosin may decrease the vasoconstricting activities of Isoetharine.,1,69,189,79
pivampicillin,tasimelteon,no interaction known or reported,0,32,58,278
macitentan,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Macitentan.,1,92,120,533
picosulfuric acid,dimetindene,no interaction known or reported,0,32,32,44
panobinostat,telavancin,Panobinostat may increase the QTc-prolonging activities of Telavancin.,1,70,141,72
piracetam,buclizine,no interaction known or reported,0,32,45,42
cyclobenzaprine,perindopril,The serum concentration of Perindopril can be increased when it is combined with Cyclobenzaprine.,1,97,393,242
piperazine,ritonavir,The metabolism of Ritonavir can be decreased when combined with Piperazine.,1,75,123,355
carbinoxamine,pizotifen,The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Pizotifen.,1,103,198,271
chlorpheniramine,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Chlorpheniramine.,1,87,172,384
rasagiline,bupranolol,Rasagiline may increase the hypotensive activities of Bupranolol.,1,65,306,241
butabarbital,efavirenz,The risk or severity of adverse effects can be increased when Butabarbital is combined with Efavirenz.,1,102,287,424
isoflurane,zopiclone,The risk or severity of adverse effects can be increased when Isoflurane is combined with Zopiclone.,1,100,355,120
calcium acetate,amlodipine,The therapeutic efficacy of Amlodipine can be decreased when used in combination with Calcium acetate.,1,102,106,236
neostigmine,propantheline,The therapeutic efficacy of Propantheline can be decreased when used in combination with Neostigmine.,1,101,109,72
clorazepic acid,erythromycin,The metabolism of Erythromycin can be decreased when combined with Clorazepic acid.,1,83,314,532
idarubicin,ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Idarubicin.,1,77,211,678
vinorelbine,fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Vinorelbine.,1,95,136,547
deferasirox,vilanterol,The serum concentration of Vilanterol can be decreased when it is combined with Deferasirox.,1,92,523,161
calcium carbonate,nateglinide,no interaction known or reported,0,32,130,129
hydromorphone,zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Hydromorphone.,1,80,423,238
cholecalciferol,sildenafil,The metabolism of Sildenafil can be decreased when combined with Cholecalciferol.,1,81,92,516
butenafine,nimesulide,The risk or severity of adverse effects can be increased when Butenafine is combined with Nimesulide.,1,101,77,300
valsartan,terlipressin,Valsartan may increase the hypotensive activities of Terlipressin.,1,66,254,134
phenylbutyric acid,ouabain,Phenylbutyric acid may decrease the cardiotoxic activities of Ouabain.,1,70,32,319
cyclothiazide,yohimbine,Cyclothiazide may decrease the antihypertensive activities of Yohimbine.,1,72,92,168
gadobenic acid,asenapine,no interaction known or reported,0,32,134,190
sertraline,theophylline,The metabolism of Theophylline can be decreased when combined with Sertraline.,1,78,217,237
glipizide,miglitol,Glipizide may increase the hypoglycemic activities of Miglitol.,1,63,244,137
debrisoquine,orciprenaline,no interaction known or reported,0,32,202,101
amlodipine,furosemide,The risk or severity of adverse effects can be increased when Amlodipine is combined with Furosemide.,1,101,215,338
alprenolol,abiraterone,The serum concentration of Abiraterone can be increased when it is combined with Alprenolol.,1,92,266,481
chlorothiazide,loxoprofen,no interaction known or reported,0,32,193,215
flurandrenolide,norfloxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Norfloxacin.,1,107,122,288
arsenic trioxide,pioglitazone,The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Arsenic trioxide.,1,105,339,218
rotigotine,diltiazem,The metabolism of Diltiazem can be decreased when combined with Rotigotine.,1,75,216,583
dopamine,hydroxyamphetamine,The risk or severity of adverse effects can be increased when Dopamine is combined with Hydroxyamphetamine.,1,107,177,97
flunitrazepam,efavirenz,The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Efavirenz.,1,103,266,424
temazepam,fluvastatin,The metabolism of Fluvastatin can be decreased when combined with Temazepam.,1,76,375,251
metoclopramide,methyltestosterone,no interaction known or reported,0,32,229,133
guanadrel,quinidine,no interaction known or reported,0,32,124,334
carbamazepine,selegiline,The metabolism of Selegiline can be increased when combined with Carbamazepine.,1,79,825,214
edetic acid,loxoprofen,Edetic acid may increase the anticoagulant activities of Loxoprofen.,1,68,158,215
mestranol,ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Mestranol.,1,76,111,678
diflunisal,lumiracoxib,The risk or severity of adverse effects can be increased when Diflunisal is combined with Lumiracoxib.,1,102,184,214
bezafibrate,saquinavir,The metabolism of Saquinavir can be decreased when combined with Bezafibrate.,1,77,89,545
toloxatone,minaprine,Toloxatone may increase the hypertensive activities of Minaprine.,1,65,192,198
dabrafenib,ropivacaine,The serum concentration of Ropivacaine can be decreased when it is combined with Dabrafenib.,1,92,641,162
tamsulosin,erythromycin,The metabolism of Erythromycin can be decreased when combined with Tamsulosin.,1,78,269,532
nisoldipine,xylometazoline,Nisoldipine may increase the hypotensive activities of Xylometazoline.,1,70,209,215
dronedarone,stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Dronedarone.,1,93,210,776
zaltoprofen,dapsone,no interaction known or reported,0,32,189,87
furazolidone,lercanidipine,Furazolidone may increase the hypotensive activities of Lercanidipine.,1,70,209,210
amsacrine,fingolimod,Amsacrine may increase the immunosuppressive activities of Fingolimod.,1,70,112,259
vandetanib,levofloxacin,Vandetanib may increase the QTc-prolonging activities of Levofloxacin.,1,70,191,271
cefazolin,minoxidil,no interaction known or reported,0,32,41,131
deferasirox,guanethidine,no interaction known or reported,0,32,523,129
nateglinide,saquinavir,The metabolism of Saquinavir can be decreased when combined with Nateglinide.,1,77,227,545
bisoprolol,stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Bisoprolol.,1,92,357,776
dabrafenib,toremifene,The serum concentration of Toremifene can be decreased when it is combined with Dabrafenib.,1,91,641,80
pinaverium,liothyronine,no interaction known or reported,0,32,53,85
nicotinamide,celiprolol,no interaction known or reported,0,32,30,262
methadone,trimipramine,The risk or severity of adverse effects can be increased when Methadone is combined with Trimipramine.,1,102,456,341
clomipramine,eslicarbazepine acetate,The metabolism of Eslicarbazepine acetate can be decreased when combined with Clomipramine.,1,91,314,184
benazepril,nebivolol,The risk or severity of adverse effects can be increased when Benazepril is combined with Nebivolol.,1,100,227,286
amphetamine,hydralazine,Amphetamine may increase the hypotensive activities of Hydralazine.,1,67,392,219
reserpine,nicardipine,The risk or severity of adverse effects can be increased when Reserpine is combined with Nicardipine.,1,101,425,548
floctafenine,droxicam,The risk or severity of adverse effects can be increased when Floctafenine is combined with Droxicam.,1,101,208,208
eslicarbazepine acetate,epoprostenol,no interaction known or reported,0,32,48,276
zolpidem,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Zolpidem.,1,79,443,384
clomipramine,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Clomipramine.,1,94,314,533
prednisolone,atracurium besylate,Prednisolone may increase the adverse neuromuscular activities of Atracurium besylate.,1,86,204,142
gliclazide,oxymetholone,Gliclazide may increase the hypoglycemic activities of Oxymetholone.,1,68,212,129
doxepin,pirlindole,Doxepin may increase the serotonergic activities of Pirlindole.,1,63,270,172
mephentermine,profenamine,Mephentermine may decrease the sedative activities of Profenamine.,1,66,187,78
bretylium,nilvadipine,Bretylium may increase the hypotensive activities of Nilvadipine.,1,65,111,261
ramipril,droxicam,The risk or severity of adverse effects can be increased when Ramipril is combined with Droxicam.,1,97,262,208
budesonide,glycerol phenylbutyrate,The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Budesonide.,1,110,170,102
nepafenac,halcinonide,The risk or severity of adverse effects can be increased when Nepafenac is combined with Halcinonide.,1,101,201,131
loxapine,diphenhydramine,The risk or severity of adverse effects can be increased when Loxapine is combined with Diphenhydramine.,1,104,262,304
simvastatin,fesoterodine,The serum concentration of the active metabolites of Fesoterodine can be increased when Fesoterodine is used in combination with Simvastatin.,1,141,342,335
benazepril,piroxicam,The risk or severity of adverse effects can be increased when Benazepril is combined with Piroxicam.,1,100,227,154
sevoflurane,ketoconazole,The metabolism of Ketoconazole can be decreased when combined with Sevoflurane.,1,79,378,706
penbutolol,tetracycline,no interaction known or reported,0,32,200,71
metixene,hydromorphone,The risk or severity of adverse effects can be increased when Metixene is combined with Hydromorphone.,1,102,69,147
chloroquine,lumiracoxib,The risk or severity of adverse effects can be increased when Chloroquine is combined with Lumiracoxib.,1,103,374,214
selegiline,propantheline,no interaction known or reported,0,32,423,72
pimozide,tasimelteon,The risk or severity of adverse effects can be increased when Pimozide is combined with Tasimelteon.,1,100,372,278
dacarbazine,acetyldigitoxin,Dacarbazine may decrease the cardiotoxic activities of Acetyldigitoxin.,1,71,63,326
amiodarone,fosphenytoin,Amiodarone may increase the QTc-prolonging activities of Fosphenytoin.,1,70,252,168
oxybutynin,nalbuphine,The risk or severity of adverse effects can be increased when Oxybutynin is combined with Nalbuphine.,1,101,139,160
nicardipine,topiroxostat,The metabolism of Topiroxostat can be decreased when combined with Nicardipine.,1,79,200,271
iloprost,levobupivacaine,The risk or severity of adverse effects can be increased when Iloprost is combined with Levobupivacaine.,1,104,220,184
ulipristal,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Ulipristal.,1,92,117,533
metaraminol,tedizolid phosphate,Metaraminol may increase the hypertensive activities of Tedizolid phosphate.,1,76,83,115
diltiazem,ritonavir,The metabolism of Ritonavir can be decreased when combined with Diltiazem.,1,74,266,355
methotrimeprazine,butabarbital,Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Butabarbital.,1,113,377,39
midazolam,fexofenadine,no interaction known or reported,0,32,350,286
prochlorperazine,colchicine,no interaction known or reported,0,32,399,72
tolazoline,tolcapone,The risk or severity of adverse effects can be increased when Tolazoline is combined with Tolcapone.,1,100,130,247
colistimethate,amphotericin b,Colistimethate may increase the nephrotoxic activities of Amphotericin B.,1,73,58,175
fluoxetine,floxuridine,The metabolism of Floxuridine can be decreased when combined with Fluoxetine.,1,77,285,224
thiopental,atorvastatin,The risk or severity of adverse effects can be increased when Thiopental is combined with Atorvastatin.,1,103,381,332
fluocinonide,glycerol phenylbutyrate,The therapeutic efficacy of Glycerol phenylbutyrate can be decreased when used in combination with Fluocinonide.,1,112,136,102
lacosamide,itraconazole,The serum concentration of Itraconazole can be increased when it is combined with Lacosamide.,1,93,61,600
almotriptan,asenapine,The risk or severity of adverse effects can be increased when Almotriptan is combined with Asenapine.,1,101,247,190
salicylamide,fluticasone propionate,The risk or severity of adverse effects can be increased when Salicylamide is combined with Fluticasone propionate.,1,115,146,347
sirolimus,vincristine,The serum concentration of Vincristine can be decreased when it is combined with Sirolimus.,1,91,182,104
prazepam,loratadine,The risk or severity of adverse effects can be increased when Prazepam is combined with Loratadine.,1,99,204,258
ethanol,articaine,Ethanol may increase the central nervous system depressant (CNS depressant) activities of Articaine.,1,100,400,183
sotalol,cisapride,The risk or severity of QTc prolongation can be increased when Sotalol is combined with Cisapride.,1,98,320,82
pergolide,lopinavir,The metabolism of Lopinavir can be decreased when combined with Pergolide.,1,74,311,612
nystatin,didanosine,Nystatin can cause a decrease in the absorption of Didanosine resulting in a reduced serum concentration and potentially a decrease in efficacy.,1,144,75,94
ergocalciferol,butalbital,no interaction known or reported,0,32,107,204
methocarbamol,levodopa,The risk or severity of adverse effects can be increased when Methocarbamol is combined with Levodopa.,1,102,105,376
butoconazole,risedronic acid,The risk or severity of adverse effects can be increased when Butoconazole is combined with Risedronic acid.,1,108,86,210
rifampicin,mianserin,The metabolism of Mianserin can be increased when combined with Rifampicin.,1,75,770,118
phentermine,pirlindole,Phentermine may increase the hypertensive activities of Pirlindole.,1,67,215,172
flubendazole,diethylpropion,no interaction known or reported,0,32,31,67
procaine benzylpenicillin,vancomycin,no interaction known or reported,0,32,46,70
troleandomycin,dronedarone,The metabolism of Dronedarone can be decreased when combined with Troleandomycin.,1,81,98,514
afatinib,isavuconazonium,The serum concentration of Isavuconazonium can be increased when it is combined with Afatinib.,1,94,215,516
dicoumarol,sparfloxacin,Dicoumarol may increase the anticoagulant activities of Sparfloxacin.,1,69,385,225
chlorpromazine,desflurane,Chlorpromazine may increase the QTc-prolonging activities of Desflurane.,1,72,488,176
nilvadipine,aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Nilvadipine.,1,92,166,546
pentobarbital,dronabinol,Pentobarbital may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.,1,107,841,357
dutasteride,isosorbide mononitrate,no interaction known or reported,0,32,96,190
irbesartan,toloxatone,no interaction known or reported,0,32,178,162
amobarbital,cetirizine,The risk or severity of adverse effects can be increased when Amobarbital is combined with Cetirizine.,1,102,416,216
olopatadine,lopinavir,The metabolism of Lopinavir can be decreased when combined with Olopatadine.,1,76,317,612
lansoprazole,tranylcypromine,The metabolism of Tranylcypromine can be decreased when combined with Lansoprazole.,1,83,165,429
voxilaprevir,sulfamethoxazole,The metabolism of Sulfamethoxazole can be decreased when combined with Voxilaprevir.,1,84,122,302
ambenonium,orphenadrine,The therapeutic efficacy of Orphenadrine can be decreased when used in combination with Ambenonium.,1,99,111,110
digitoxin,droperidol,no interaction known or reported,0,32,128,374
lumacaftor,flurbiprofen,The serum concentration of Flurbiprofen can be decreased when it is combined with Lumacaftor.,1,93,592,148
ethanol,dimenhydrinate,Ethanol may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.,1,105,400,255
valproic acid,ethionamide,no interaction known or reported,0,32,264,31
amobarbital,azelnidipine,The metabolism of Azelnidipine can be increased when combined with Amobarbital.,1,79,416,106
moxifloxacin,lumiracoxib,no interaction known or reported,0,32,129,214
remoxipride,glutethimide,The risk or severity of adverse effects can be increased when Remoxipride is combined with Glutethimide.,1,104,239,164
deferasirox,hydrocodone,The serum concentration of Hydrocodone can be decreased when it is combined with Deferasirox.,1,93,523,117
calcium citrate,enoxacin,no interaction known or reported,0,32,104,201
methoxyflurane,tianeptine,no interaction known or reported,0,32,312,98
nicergoline,losartan,The risk or severity of adverse effects can be increased when Nicergoline is combined with Losartan.,1,100,303,365
amitriptyline,maprotiline,The risk or severity of adverse effects can be increased when Amitriptyline is combined with Maprotiline.,1,105,334,328
clobetasol propionate,fentanyl,no interaction known or reported,0,32,131,207
carbamazepine,mebendazole,The serum concentration of Mebendazole can be decreased when it is combined with Carbamazepine.,1,95,825,69
methylprednisolone,dronabinol,no interaction known or reported,0,32,191,357
olmesartan,aminoglutethimide,no interaction known or reported,0,32,231,29
rivaroxaban,propacetamol,Rivaroxaban may increase the anticoagulant activities of Propacetamol.,1,70,239,226
umeclidinium,alfentanil,no interaction known or reported,0,32,164,177
dextromethorphan,promethazine,The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Promethazine.,1,109,272,344
procyclidine,avanafil,no interaction known or reported,0,32,99,63
orphenadrine,gamma-hydroxybutyric acid,Orphenadrine may increase the central nervous system depressant (CNS depressant) activities of gamma-Hydroxybutyric acid.,1,121,371,114
diphenhydramine,metyrosine,Diphenhydramine may increase the sedative activities of Metyrosine.,1,67,269,406
rosuvastatin,fosamprenavir,The serum concentration of Fosamprenavir can be increased when it is combined with Rosuvastatin.,1,96,340,527
hydrocodone,ivacaftor,The serum concentration of Ivacaftor can be increased when it is combined with Hydrocodone.,1,91,417,496
trichloroethylene,desflurane,no interaction known or reported,0,32,135,176
cyproheptadine,ramelteon,The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Ramelteon.,1,104,147,248
clopidogrel,dipyridamole,Clopidogrel may increase the anticoagulant activities of Dipyridamole.,1,70,133,205
aminophenazone,moclobemide,The metabolism of Moclobemide can be decreased when combined with Aminophenazone.,1,81,179,262
amoxapine,clemastine,The metabolism of Clemastine can be decreased when combined with Amoxapine.,1,75,255,680
moxonidine,empagliflozin,The risk or severity of adverse effects can be increased when Moxonidine is combined with Empagliflozin.,1,104,195,286
bicalutamide,posaconazole,The metabolism of Posaconazole can be decreased when combined with Bicalutamide.,1,80,100,577
cisapride,degarelix,Cisapride may increase the QTc-prolonging activities of Degarelix.,1,66,307,103
tolvaptan,hydrocortisone,The serum concentration of Hydrocortisone can be increased when it is combined with Tolvaptan.,1,94,274,178
lumacaftor,scopolamine,no interaction known or reported,0,32,592,288
calcium acetate,nilvadipine,The therapeutic efficacy of Nilvadipine can be decreased when used in combination with Calcium acetate.,1,103,106,261
paclitaxel,spironolactone,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Spironolactone.,1,105,434,178
haloperidol,midostaurin,The metabolism of Midostaurin can be decreased when combined with Haloperidol.,1,78,383,440
simvastatin,caffeine,The serum concentration of Caffeine can be increased when it is combined with Simvastatin.,1,90,342,227
dimethyl fumarate,acepromazine,no interaction known or reported,0,32,34,206
dicyclomine,ascorbic acid,no interaction known or reported,0,32,103,29
salicylic acid,rosiglitazone,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Rosiglitazone.,1,108,254,261
brompheniramine,betaxolol,The metabolism of Betaxolol can be decreased when combined with Brompheniramine.,1,80,233,336
doxepin,darunavir,The serum concentration of Darunavir can be increased when it is combined with Doxepin.,1,87,270,591
lumacaftor,vandetanib,The serum concentration of Vandetanib can be decreased when it is combined with Lumacaftor.,1,91,592,83
tolbutamide,pargyline,Tolbutamide may increase the hypoglycemic activities of Pargyline.,1,66,183,180
carisoprodol,imipramine,The risk or severity of adverse effects can be increased when Carisoprodol is combined with Imipramine.,1,103,146,420
vilazodone,cyclobenzaprine,The risk or severity of adverse effects can be increased when Vilazodone is combined with Cyclobenzaprine.,1,106,232,183
methadone,amiloride,The risk or severity of adverse effects can be increased when Methadone is combined with Amiloride.,1,99,456,177
dexamethasone,netupitant,The serum concentration of Netupitant can be increased when it is combined with Dexamethasone.,1,94,213,537
protriptyline,dosulepin,The metabolism of Dosulepin can be decreased when combined with Protriptyline.,1,78,261,453
moxifloxacin,lithium cation,Moxifloxacin may increase the QTc-prolonging activities of Lithium cation.,1,74,129,266
abiraterone,osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Abiraterone.,1,93,72,524
butabarbital,droperidol,Butabarbital may increase the central nervous system depressant (CNS depressant) activities of Droperidol.,1,106,287,374
piroxicam,etidronic acid,The risk or severity of adverse effects can be increased when Piroxicam is combined with Etidronic acid.,1,104,253,137
glipizide,bopindolol,Glipizide may increase the hypoglycemic activities of Bopindolol.,1,65,244,138
isoniazid,budesonide,no interaction known or reported,0,32,64,148
sitaxentan,trimethoprim,The metabolism of Trimethoprim can be decreased when combined with Sitaxentan.,1,78,86,336
amlodipine,felodipine,The risk or severity of adverse effects can be increased when Amlodipine is combined with Felodipine.,1,101,215,377
nizatidine,midazolam,no interaction known or reported,0,32,51,125
triamterene,metipranolol,The risk or severity of adverse effects can be increased when Triamterene is combined with Metipranolol.,1,104,210,276
lanthanum carbonate,ganciclovir,no interaction known or reported,0,32,65,26
silodosin,nifedipine,The serum concentration of Nifedipine can be increased when it is combined with Silodosin.,1,90,326,254
pyrazinamide,letrozole,no interaction known or reported,0,32,101,52
clomipramine,chlorthalidone,The risk or severity of adverse effects can be increased when Clomipramine is combined with Chlorthalidone.,1,107,314,329
lacidipine,pitavastatin,The risk or severity of adverse effects can be increased when Lacidipine is combined with Pitavastatin.,1,103,126,94
flurazepam,tolcapone,The risk or severity of adverse effects can be increased when Flurazepam is combined with Tolcapone.,1,100,317,247
thiamylal,clemastine,The risk or severity of adverse effects can be increased when Thiamylal is combined with Clemastine.,1,100,391,680
etravirine,udenafil,The serum concentration of Udenafil can be decreased when it is combined with Etravirine.,1,89,185,52
trazodone,rolapitant,The metabolism of Rolapitant can be decreased when combined with Trazodone.,1,75,311,325
almasilate,flunisolide,The bioavailability of Flunisolide can be decreased when combined with Almasilate.,1,82,130,142
bifonazole,nonoxynol-9,no interaction known or reported,0,32,70,37
glimepiride,metformin,Glimepiride may increase the hypoglycemic activities of Metformin.,1,66,193,148
ketoconazole,tolfenamic acid,The risk or severity of adverse effects can be increased when Ketoconazole is combined with Tolfenamic acid.,1,108,93,279
nicorandil,isosorbide dinitrate,Nicorandil may increase the hypotensive activities of Isosorbide dinitrate.,1,75,192,184
gemfibrozil,aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Gemfibrozil.,1,92,74,546
tedizolid phosphate,fencamfamin,The risk or severity of adverse effects can be increased when Tedizolid phosphate is combined with Fencamfamin.,1,111,99,215
phenoxybenzamine,trichlormethiazide,Phenoxybenzamine may increase the hypotensive activities of Trichlormethiazide.,1,79,192,327
escitalopram,sufentanil,Escitalopram may increase the serotonergic activities of Sufentanil.,1,68,288,207
darifenacin,palbociclib,The serum concentration of Palbociclib can be increased when it is combined with Darifenacin.,1,93,174,533
spirapril,trolamine salicylate,Spirapril may decrease the antihypertensive activities of Trolamine salicylate.,1,79,163,126
domperidone,doxapram,no interaction known or reported,0,32,249,28
ketamine,nicardipine,The metabolism of Nicardipine can be decreased when combined with Ketamine.,1,75,325,548
procainamide,amitriptyline,Procainamide may increase the QTc-prolonging activities of Amitriptyline.,1,73,211,302
amiodarone,paritaprevir,The serum concentration of Paritaprevir can be increased when it is combined with Amiodarone.,1,93,252,69
sorafenib,fosaprepitant,The serum concentration of Fosaprepitant can be increased when it is combined with Sorafenib.,1,93,121,547
nevirapine,metronidazole,The metabolism of Metronidazole can be increased when combined with Nevirapine.,1,79,579,142
morniflumate,flurbiprofen,The risk or severity of adverse effects can be increased when Morniflumate is combined with Flurbiprofen.,1,105,109,148
arbekacin,mycophenolate mofetil,Arbekacin may decrease the excretion rate of Mycophenolate mofetil which could result in a higher serum level.,1,110,120,183
sorafenib,diatrizoate,no interaction known or reported,0,32,121,29
arbekacin,resveratrol,Arbekacin may decrease the excretion rate of Resveratrol which could result in a higher serum level.,1,100,120,230
lacosamide,indapamide,no interaction known or reported,0,32,61,445
mepivacaine,tiapride,The risk or severity of adverse effects can be increased when Mepivacaine is combined with Tiapride.,1,100,211,247
pentamidine,sildenafil,The metabolism of Sildenafil can be decreased when combined with Pentamidine.,1,77,317,516
mitotane,ceritinib,The serum concentration of Ceritinib can be decreased when it is combined with Mitotane.,1,88,570,613
methoxyflurane,atazanavir,The metabolism of Atazanavir can be decreased when combined with Methoxyflurane.,1,80,312,597
floxuridine,selegiline,no interaction known or reported,0,32,37,214
mephentermine,magnesium oxide,Mephentermine may decrease the excretion rate of Magnesium oxide which could result in a higher serum level.,1,108,187,129
vardenafil,nadolol,Vardenafil may increase the antihypertensive activities of Nadolol.,1,67,204,282
isoprenaline,cholic acid,no interaction known or reported,0,32,79,16
epoprostenol,fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Epoprostenol.,1,80,181,233
sorafenib,nalidixic acid,no interaction known or reported,0,32,121,203
moxonidine,lercanidipine,Moxonidine may increase the hypotensive activities of Lercanidipine.,1,68,195,210
cyproterone acetate,ranitidine,The serum concentration of Ranitidine can be decreased when it is combined with Cyproterone acetate.,1,100,254,101
calcium chloride,chlorthalidone,Calcium chloride may decrease the excretion rate of Chlorthalidone which could result in a higher serum level.,1,110,111,329
clevidipine,tenofovir disoproxil,The metabolism of Tenofovir disoproxil can be decreased when combined with Clevidipine.,1,87,130,284
venlafaxine,abiraterone,The serum concentration of Abiraterone can be increased when it is combined with Venlafaxine.,1,93,256,481
glisoxepide,captopril,no interaction known or reported,0,32,84,270
methotrimeprazine,lurasidone,Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.,1,111,377,199
nabilone,escitalopram,The risk or severity of adverse effects can be increased when Nabilone is combined with Escitalopram.,1,101,185,302
colchicine,quinacrine,The serum concentration of Quinacrine can be increased when it is combined with Colchicine.,1,91,267,89
